City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
379,Kavaratti,IN,81.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
387,Benguela,AO,78.84,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
388,Trincomalee,LK,80.8,few clouds,8.5711,81.2335,Welcombe Hotel
392,Galle,LK,77.67,broken clouds,6.0367,80.217,Amangalla
395,Sao Felix Do Xingu,BR,88.7,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
396,Vryburg,ZA,87.48,broken clouds,-26.9566,24.7284,The Times Premier Lodge
397,Brokopondo,SR,87.19,overcast clouds,4.75,-55.1667,Matu Island
398,Mana,GF,84.72,overcast clouds,5.6592,-53.7767,LE SAMANA
405,Nyangao,TZ,76.98,broken clouds,-10.3333,39.2833,MLIMANI LODGE & STATIONERY
406,Tinaquillo,VE,88.23,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
407,Kalmunai,LK,78.46,few clouds,7.4167,81.8167,VS Villa
408,Takoradi,GH,82.31,light rain,4.8845,-1.7554,Raybow International Hotel
415,Atar,MR,82.42,broken clouds,20.5169,-13.0499,Oumou Elghoura
422,Concordia,AR,82.47,few clouds,-31.393,-58.0209,Palmar Hotel Casino
424,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
425,Acajutla,SV,89.94,clear sky,13.5928,-89.8275,asi es
432,De Aar,ZA,79.88,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
434,Cuamba,MZ,84.42,few clouds,-14.8031,36.5372,Hotel Vision
439,Mumford,GH,82.29,overcast clouds,5.2618,-0.759,Spanish Villa
445,Wewak,PG,76.57,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
446,Ovalle,CL,80.4,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
453,Zwedru,LR,82.13,broken clouds,6.0667,-8.1281,Elijah Worjloh
454,Yumbe,UG,75.87,overcast clouds,3.4651,31.2469,Terrain Hotel
457,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
458,Acahay,PY,85.64,clear sky,-25.9167,-57.15,Club 30 de abril - Acahay
460,Urucui,BR,89.85,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
463,Salinopolis,BR,86.45,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
464,Batouri,CM,79.74,overcast clouds,4.4333,14.3667,Hotel Hollywood
476,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
495,Bonthe,SL,81.37,light rain,7.5264,-12.505,Bonthe Holiday Village
496,Celestun,MX,79.72,scattered clouds,20.8667,-90.4,Posada Lilia
502,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
504,Les Cayes,HT,87.04,broken clouds,18.2,-73.75,Villa Orphee
505,Bosaso,SO,76.53,clear sky,11.2842,49.1816,Red Sea Hotel
507,Indiaroba,BR,85.1,broken clouds,-11.5192,-37.5117,Pura Vida Bahia
511,Shakawe,BW,78.51,broken clouds,-18.3667,21.85,Ditlhapi Guest House
514,Maragogi,BR,84.24,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
515,Sabang,ID,79.36,light rain,5.8933,95.3214,Hotel Citra
517,Miramar,US,78.03,clear sky,25.9873,-80.2323,Miramar
522,Jaru,BR,81.18,overcast clouds,-10.4389,-62.4664,Hotel Paraná
