City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Aquiraz,BR,-3.9014,-38.3911,91.22,55,66,11.68,broken clouds
128,Pisco,PE,-13.7,-76.2167,73.45,64,0,11.5,clear sky
129,Komsomolskiy,UZ,40.4272,71.7189,40.42,69,61,4.61,mist
130,Beringovskiy,RU,63.05,179.3167,9.18,95,94,3.15,light snow
131,Auki,SB,-8.7676,160.7034,78.87,85,91,4.38,overcast clouds
132,Padang,ID,-0.9492,100.3543,75.81,88,56,2.26,broken clouds
133,Airai,TL,-8.9266,125.4092,62.13,89,100,1.81,overcast clouds
134,Kapaa,US,22.0752,-159.319,75.52,84,20,1.99,light rain
135,Anloga,GH,5.7947,0.8973,83.64,73,70,10.45,broken clouds
136,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,74,0,20.71,clear sky
137,Itaituba,BR,-4.2761,-55.9836,93.36,59,40,8.05,scattered clouds
138,Kaitangata,NZ,-46.2817,169.8464,54.93,77,100,9.28,overcast clouds
139,Mackay,AU,-21.15,149.2,75.04,87,100,3.04,overcast clouds
140,Abonnema,NG,4.7084,6.7931,83.89,69,66,9.4,broken clouds
141,Hopfgarten,DE,50.9833,11.2667,43.45,86,100,19.13,overcast clouds
142,Tubarao,BR,-28.4667,-49.0069,90.25,45,1,8.16,clear sky
143,Esperance,AU,-33.8667,121.9,56.68,73,21,4.41,few clouds
144,Jamestown,US,42.097,-79.2353,34.34,94,90,8.01,overcast clouds
145,Santarem,BR,-2.4431,-54.7083,87.93,84,75,11.5,broken clouds
146,Boddam,GB,57.4667,-1.7833,46.11,90,100,6.89,overcast clouds
147,Bonnyville,CA,54.2668,-110.735,25.92,95,84,3.27,broken clouds
148,Geraldton,AU,-28.7667,114.6,61.21,72,40,12.66,scattered clouds
149,Puerto Escondido,MX,15.85,-97.0667,85.03,65,1,3.44,clear sky
150,Harper,LR,4.375,-7.7169,81.88,75,99,6.78,overcast clouds
151,Minab,IR,27.1467,57.0801,74.7,55,1,5.44,clear sky
152,Nikolskoye,RU,59.7035,30.7861,22.91,94,100,11.25,light snow
153,Boysun,UZ,38.2061,67.1986,48.96,34,25,5.5,scattered clouds
154,Khatanga,RU,71.9667,102.5,-38.02,100,76,2.75,broken clouds
155,Garissa,KE,-0.4536,39.6401,85.37,53,100,2.66,overcast clouds
156,Biltine,TD,14.5333,20.9167,86.74,14,3,9.95,clear sky
157,Rupert,US,42.6191,-113.6772,39.09,86,1,0.0,clear sky
158,Putina,PE,-15.4667,-69.4333,51.35,59,92,2.64,overcast clouds
159,Mopti,ML,14.6667,-4.0,93.56,7,66,8.66,broken clouds
160,Nabire,ID,-3.3667,135.4833,75.11,94,100,4.16,very heavy rain
161,Virginia Beach,US,36.8529,-75.978,52.05,41,40,1.99,scattered clouds
162,Faanui,PF,-16.4833,-151.75,80.85,77,100,18.95,light rain
163,Marsa Matruh,EG,31.3525,27.2453,66.63,68,77,18.81,broken clouds
164,Tuy Hoa,VN,13.0833,109.3,73.99,87,100,17.9,light rain
165,Mutis,CO,6.2262,-77.4044,76.41,89,100,11.5,overcast clouds
166,Cayenne,GF,4.9333,-52.3333,87.84,85,75,1.01,broken clouds
167,Leningradskiy,RU,69.3833,178.4167,-21.66,95,26,9.8,scattered clouds
168,Isangel,VU,-19.55,169.2667,77.9,85,26,4.27,scattered clouds
169,Centralia,US,46.7162,-122.9543,55.08,82,100,1.01,overcast clouds
170,Half Moon Bay,US,37.4636,-122.4286,67.95,89,1,0.0,mist
171,Araouane,ML,18.9048,-3.5265,82.96,12,92,8.93,overcast clouds
172,Koslan,RU,63.4564,48.8989,17.24,93,100,16.26,light snow
173,Saurimo,AO,-9.6608,20.3916,68.95,88,79,2.91,light rain
174,Rancho Palos Verdes,US,33.7445,-118.387,82.08,78,90,0.0,fog
175,Bajil,YE,15.0584,43.2851,83.01,54,0,4.56,clear sky
176,Aykhal,RU,66.0,111.5,-30.59,100,100,6.49,overcast clouds
177,Thompson,CA,55.7435,-97.8558,-0.24,65,20,6.91,few clouds
178,Imbituba,BR,-28.24,-48.6703,82.29,54,0,8.08,clear sky
179,Rocha,UY,-34.4833,-54.3333,70.02,69,91,17.27,overcast clouds
180,Lagoa,PT,39.05,-27.9833,61.75,75,25,11.72,scattered clouds
181,Krasnoarmeysk,RU,51.0239,45.6969,40.3,73,42,13.89,scattered clouds
182,Kiunga,PG,-6.1219,141.2906,74.23,100,100,1.03,overcast clouds
183,Tourlaville,FR,49.6383,-1.5664,52.66,93,90,19.57,overcast clouds
184,Hovd,MN,48.0056,91.6419,16.99,49,13,1.19,few clouds
185,Longyearbyen,SJ,78.2186,15.6401,1.02,76,10,6.51,clear sky
186,Sakata,JP,38.9167,139.855,52.92,75,100,16.11,moderate rain
187,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,88,98,8.72,overcast clouds
188,Thinadhoo,MV,0.5333,72.9333,82.15,76,11,8.32,few clouds
189,Aiken,US,33.5835,-81.5998,61.36,34,0,10.92,clear sky
190,Ossora,RU,59.2353,163.0719,5.68,82,47,9.26,scattered clouds
191,Beloha,MG,-25.1667,45.05,74.3,82,14,14.43,few clouds
192,North Bend,US,43.4065,-124.2243,56.12,100,1,4.61,clear sky
193,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,88,75,10.36,broken clouds
194,Muzhi,RU,65.3667,64.6667,-11.18,98,70,3.74,broken clouds
195,Hargeysa,SO,9.56,44.065,62.1,77,32,9.8,scattered clouds
196,Adrar,MR,20.5022,-10.0711,77.58,13,80,12.37,broken clouds
197,Witu,KE,-2.3889,40.4382,78.96,85,100,2.19,light rain
198,Pacific Grove,US,36.6177,-121.9166,68.63,60,1,4.0,clear sky
199,Prince Rupert,CA,54.3161,-130.3201,49.69,86,90,25.32,moderate rain
200,Fairbanks,US,64.8378,-147.7164,-3.91,77,1,0.0,clear sky
201,Takestan,IR,36.0696,49.6959,48.33,53,69,3.49,broken clouds
202,Salalah,OM,17.0151,54.0924,80.69,19,0,5.75,clear sky
203,Nuuk,GL,64.1835,-51.7216,32.61,100,90,25.32,light snow
204,Lakhimpur,IN,27.95,80.7667,63.73,41,100,1.79,overcast clouds
205,Aqtobe,KZ,50.2797,57.2072,35.69,75,0,15.66,clear sky
206,Nome,US,64.5011,-165.4064,-14.73,65,1,4.61,clear sky
207,Dubti,ET,11.7361,41.0853,86.54,22,0,2.82,clear sky
208,Tazovskiy,RU,67.4667,78.7,-21.41,99,19,7.05,few clouds
209,Castro,BR,-24.7911,-50.0119,82.31,27,0,8.77,clear sky
210,Alihe,CN,50.5667,123.7167,0.75,96,10,3.0,clear sky
211,Emerald,AU,-23.5333,148.1667,69.94,100,90,4.61,overcast clouds
212,Tahe,CN,52.3333,124.7333,-5.67,97,15,3.44,few clouds
213,Mehamn,NO,71.0357,27.8492,21.38,67,0,11.5,clear sky
214,Shakiso,ET,5.75,38.9167,58.98,40,62,3.65,broken clouds
215,Uvira,CD,-3.4067,29.1458,74.73,84,95,2.42,light rain
216,Sanand,IN,22.9833,72.3833,73.62,31,100,7.27,overcast clouds
217,Hofn,IS,64.2539,-15.2082,31.89,91,100,9.08,light snow
218,Zhezkazgan,KZ,47.8043,67.7144,20.91,90,5,4.43,clear sky
219,East London,ZA,-33.0153,27.9116,65.34,77,40,6.91,scattered clouds
220,Narsaq,GL,60.9167,-46.05,34.02,96,100,6.29,overcast clouds
221,Okha,RU,53.5739,142.9478,14.41,89,100,4.72,overcast clouds
222,Pahalgam,IN,34.0333,75.3333,29.41,42,6,11.48,clear sky
223,Amberieu-En-Bugey,FR,45.9589,5.3432,40.21,84,98,2.8,overcast clouds
224,Dingle,PH,10.9995,122.6711,75.34,85,56,3.31,broken clouds
225,Puertollano,ES,38.6871,-4.1073,51.19,70,19,2.13,few clouds
226,Umm Lajj,SA,25.0213,37.2685,81.61,62,25,2.93,scattered clouds
227,Butaritari,KI,3.0707,172.7902,80.46,80,98,8.86,light rain
228,Meadow Lake,US,34.8014,-106.5436,60.24,37,0,8.93,clear sky
229,Gudari,IN,19.35,83.7833,64.06,72,62,3.36,broken clouds
230,Marawi,PH,7.9986,124.2928,65.64,92,97,2.15,overcast clouds
231,Rakiv Lis,UA,51.6217,24.9243,32.29,84,100,13.56,overcast clouds
232,Nizhneivkino,RU,58.194,49.5214,36.97,98,100,14.67,overcast clouds
233,Vardo,NO,70.3705,31.1107,24.78,58,20,19.57,few clouds
234,Kotelnikovo,RU,47.6317,43.1461,48.18,82,39,6.64,scattered clouds
235,Ternate,ID,0.8,127.4,80.22,79,100,4.23,overcast clouds
236,Torbat-E Jam,IR,35.244,60.6225,52.32,42,0,0.92,clear sky
237,Riohacha,CO,11.5444,-72.9072,89.13,55,100,16.4,overcast clouds
238,Tateyama,JP,34.9833,139.8667,67.1,82,75,18.41,light intensity shower rain
239,Energeticheskiy,KZ,43.4278,77.0222,30.76,80,20,2.24,mist
240,Kerouane,GN,9.2667,-9.0167,90.86,25,12,4.59,few clouds
241,Mayo,US,38.8876,-76.5119,49.41,49,90,4.0,overcast clouds
242,Tecoanapa,MX,16.5167,-98.75,84.83,58,47,3.91,scattered clouds
243,Hami,CN,42.8,93.45,24.44,68,1,3.2,clear sky
244,Fort Nelson,CA,58.8053,-122.7002,-9.81,77,75,2.3,broken clouds
245,Hobyo,SO,5.3505,48.5268,80.38,63,60,20.18,broken clouds
246,Hamilton,US,39.1834,-84.5333,52.0,57,1,3.0,clear sky
247,San Patricio,US,28.017,-97.5169,73.02,67,97,6.33,overcast clouds
248,Grindavik,IS,63.8424,-22.4338,30.67,80,75,8.05,light snow
249,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,80,40,4.61,scattered clouds
250,Tiksi,RU,71.6872,128.8694,-22.68,99,99,6.76,overcast clouds
