City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Nome,US,2021-11-29 03:04:21,64.5011,-165.4064,-18.33,69,1,3.44
188,Maham,IN,2021-11-29 03:04:22,28.9833,76.3,64.11,37,0,0.58
189,Vestmannaeyjar,IS,2021-11-29 03:04:22,63.4427,-20.2734,44.01,88,88,20.76
190,Tessalit,ML,2021-11-29 03:04:22,20.1986,1.0114,68.2,33,100,10.16
191,Blovice,CZ,2021-11-29 03:04:23,49.5822,13.5401,28.98,94,76,6.22
192,Aksehir,TR,2021-11-29 03:04:23,38.3575,31.4164,50.58,89,15,9.15
193,Memari,IN,2021-11-29 03:04:24,23.2,88.1167,73.26,54,77,6.11
194,Ajdabiya,LY,2021-11-29 03:04:24,30.7554,20.2263,70.3,66,100,12.73
195,Kollam,IN,2021-11-29 03:04:24,8.8833,76.6,76.87,86,100,4.61
196,Suntar,RU,2021-11-29 03:04:25,62.1444,117.6319,-6.34,100,96,1.86
197,Mehamn,NO,2021-11-29 03:04:25,71.0357,27.8492,9.68,92,77,10.45
198,Hambantota,LK,2021-11-29 03:04:26,6.1241,81.1185,77.34,100,75,2.3
199,Ternate,ID,2021-11-29 03:04:26,0.8,127.4,83.62,71,100,4.92
200,Ancud,CL,2021-11-29 03:04:26,-41.8697,-73.8203,53.13,92,97,5.77
201,San Vicente,AR,2021-11-29 03:04:27,-26.6167,-54.1333,60.39,100,74,2.17
202,San Lazaro,BZ,2021-11-29 03:04:27,18.0387,-88.6622,70.48,88,98,3.06
203,Shimoda,JP,2021-11-29 03:04:28,34.6667,138.95,57.33,59,69,4.43
204,Waipawa,NZ,2021-11-29 03:04:28,-41.4122,175.5153,66.83,81,95,6.58
205,Plettenberg Bay,ZA,2021-11-29 03:04:28,-34.0527,23.3716,60.89,85,65,3.91
206,Pakokku,MM,2021-11-29 03:04:29,21.3333,95.1,75.38,59,40,7.63
207,Dikson,RU,2021-11-29 03:04:29,73.5069,80.5464,-14.93,99,100,16.04
208,Peleduy,RU,2021-11-29 03:04:29,59.6289,112.7406,11.44,94,100,5.84
209,Nikolskoye,RU,2021-11-29 03:04:30,59.7035,30.7861,21.09,90,100,7.7
210,Ambon,ID,2021-11-29 03:04:30,-3.6954,128.1814,87.94,70,40,4.61
211,Morondava,MG,2021-11-29 03:04:31,-20.2833,44.2833,72.27,81,2,4.59
212,Pangnirtung,CA,2021-11-29 03:04:31,66.1451,-65.7125,15.55,76,100,8.79
213,Paita,PE,2021-11-29 03:04:32,-5.0892,-81.1144,66.4,85,73,13.73
214,Ambunti,PG,2021-11-29 03:04:32,-4.2365,142.8448,93.67,51,70,1.43
215,Pevek,RU,2021-11-29 03:04:32,69.7008,170.3133,3.16,94,100,2.13
216,Taihe,CN,2021-11-29 03:04:33,30.8712,105.3845,50.95,40,100,24.94
217,Maskinonge,CA,2021-11-29 03:04:33,46.2286,-73.0192,24.33,81,100,2.15
218,Aljezur,PT,2021-11-29 03:04:33,37.3191,-8.8033,55.62,88,34,11.41
219,Bagdarin,RU,2021-11-29 03:04:34,54.4333,113.6,5.86,75,100,1.48
220,Narsaq,GL,2021-11-29 03:04:34,60.9167,-46.05,35.82,99,100,3.51
221,Aanekoski,FI,2021-11-29 03:04:35,62.6946,25.818,3.27,87,100,5.19
222,Channel-Port Aux Basques,CA,2021-11-29 03:04:35,47.5702,-59.1367,39.29,67,100,23.35
223,Chumikan,RU,2021-11-29 03:04:35,54.7183,135.315,6.64,82,2,9.37
224,Upernavik,GL,2021-11-29 03:04:36,72.7868,-56.1549,-6.39,68,64,6.26
225,Cap Malheureux,MU,2021-11-29 03:04:36,-19.9842,57.6142,77.4,66,1,8.63
226,Mwense,ZM,2021-11-29 03:04:37,-10.3845,28.698,65.7,92,62,2.17
227,Seoul,KR,2021-11-29 03:00:00,37.5683,126.9778,49.57,44,75,4.61
228,Coquimbo,CL,2021-11-29 03:04:37,-29.9533,-71.3436,58.73,88,0,5.75
229,Kholmogory,RU,2021-11-29 03:04:38,64.2229,41.656,-0.29,97,100,4.63
230,Fredericksburg,US,2021-11-29 03:00:30,38.3032,-77.4605,47.21,59,1,6.91
231,Puerto Asis,CO,2021-11-29 03:04:38,0.5133,-76.5007,71.89,98,100,2.48
232,Mayo,US,2021-11-29 03:04:38,38.8876,-76.5119,46.35,70,90,0.0
233,Guasave,MX,2021-11-29 03:05:39,25.5667,-108.45,71.46,45,100,9.26
234,Nampula,MZ,2021-11-29 03:05:39,-15.1165,39.2666,65.1,85,0,1.95
235,Hit,IQ,2021-11-29 03:05:40,33.6416,42.8251,58.89,49,0,2.53
236,Vologda,RU,2021-11-29 03:03:09,59.2187,39.8886,21.13,94,100,3.96
237,Port Lincoln,AU,2021-11-29 03:05:40,-34.7333,135.8667,71.65,52,0,7.29
238,Madona,LV,2021-11-29 03:05:41,56.8533,26.217,29.77,95,100,7.76
239,Poso,ID,2021-11-29 03:05:41,-1.3959,120.7524,83.41,76,94,3.71
240,Kasiri,SL,2021-11-29 03:05:42,8.9412,-13.1148,78.51,86,96,5.1
241,Prado,BR,2021-11-29 03:05:42,-17.3411,-39.2208,73.76,94,60,11.45
242,Hervey Bay,AU,2021-11-29 03:05:43,-25.2986,152.8535,75.31,93,100,13.22
243,Plastun,RU,2021-11-29 03:05:43,44.7561,136.2939,45.14,63,64,8.95
244,Cecina,IT,2021-11-29 03:05:18,43.3128,10.524,45.45,82,83,7.07
245,Talcahuano,CL,2021-11-29 03:05:44,-36.7167,-73.1167,53.28,76,0,11.5
246,Sorland,NO,2021-11-29 03:05:44,67.667,12.6934,34.07,48,100,16.8
247,Forbes,AU,2021-11-29 03:05:45,-33.3833,148.0167,71.51,62,85,3.4
248,Wilmington,US,2021-11-29 03:01:28,34.2257,-77.9447,53.51,58,1,6.91
249,Rafaela,AR,2021-11-29 03:05:45,-31.2503,-61.4867,61.84,69,0,7.18
